Location Code,Address,LAT,LONG
A-317,17 Claremont Rd Scarsdale NY 10583,41.01755905,-73.7851944
A-318,16 Claremont Rd Scarsdale NY 10583,41.01781464,-73.78495789
A-319,2 Claremont Rd Scarsdale NY 10583,41.01631165,-73.78636169
A-320,20 Claremont Rd Scarsdale NY 10583,41.01816559,-73.78462982
A-321,21 Claremont Rd Scarsdale NY 10583,41.01800919,-73.78477478
A-322,22 Claremont Rd Scarsdale NY 10583,41.01844025,-73.78437805
A-323,23 Claremont Rd Scarsdale NY 10583,41.01820374,-73.7845993
A-324,90 Brite Ave Scarsdale NY 10583,41.0056076,-73.792099
A-325,95 Brite Ave Scarsdale NY 10583,41.00662613,-73.79135895
A-326,89 Brite Ave Scarsdale NY 10583,41.00546265,-73.79220581
A-327,86 Brite Ave Scarsdale NY 10583,41.00516129,-73.79241943
A-328,93 Brite Ave Scarsdale NY 10583,41.0060463,-73.79178619
A-329,88 Brite Ave Scarsdale NY 10583,41.00537872,-73.79226685
A-330,91 Brite Ave Scarsdale NY 10583,41.00569916,-73.79203033
A-331,27 Claremont Rd Scarsdale NY 10583,41.01853943,-73.7842865
A-332,25 Claremont Rd Scarsdale NY 10583,41.01837158,-73.78443909
A-333,26 Claremont Rd Scarsdale NY 10583,41.01877594,-73.78406525
A-334,29 Claremont Rd Scarsdale NY 10583,41.01870346,-73.78413391
A-335,28 Claremont Rd Scarsdale NY 10583,41.01894379,-73.78390503
A-336,3 Claremont Rd Scarsdale NY 10583,41.01656723,-73.78611755
A-337,24 Claremont Rd Scarsdale NY 10583,41.01860428,-73.78421783
A-338,32 Claremont Rd Scarsdale NY 10583,41.01911545,-73.78374481
A-339,33 Claremont Rd Scarsdale NY 10583,41.01905823,-73.78379822
A-340,34 Claremont Rd Scarsdale NY 10583,41.01930618,-73.78356934
A-341,36 Claremont Rd Scarsdale NY 10583,41.01938248,-73.78350067
A-342,38 Claremont Rd Scarsdale NY 10583,41.01966095,-73.78359985
A-343,38 Claremont Rd Scarsdale NY 10583,41.01966095,-73.78359985
A-344,42 Claremont Rd Scarsdale NY 10583,41.01977158,-73.78380585
A-345,40 Claremont Rd Scarsdale NY 10583,41.01966095,-73.78359985
A-346,31 Claremont Rd Scarsdale NY 10583,41.01887131,-73.78397369
A-347,50 Claremont Rd Scarsdale NY 10583,41.02036667,-73.78491211
A-348,4 Claremont Rd Scarsdale NY 10583,41.01654434,-73.78614044
A-349,53 Claremont Rd Scarsdale NY 10583,41.02052689,-73.78520966
A-350,54 Claremont Rd Scarsdale NY 10583,41.02046204,-73.78508759
A-351,12 Cohawney Rd Scarsdale NY 10583,41.00627518,-73.79144287
A-352,35 Claremont Rd Scarsdale NY 10583,41.0197258,-73.78372192
A-353,15 Cohawney Rd Scarsdale NY 10583,41.00593948,-73.7906189
A-354,9 Claremont Rd Scarsdale NY 10583,41.01682281,-73.78588104
A-355,17 Cohawney Rd Scarsdale NY 10583,41.0057869,-73.79024506
A-356,8 Claremont Rd Scarsdale NY 10583,41.01700211,-73.78572083
A-357,14 Cohawney Rd Scarsdale NY 10583,41.00616837,-73.79118347
A-358,11 Cohawney Rd Scarsdale NY 10583,41.00619888,-73.79125977
A-359,6 Claremont Rd Scarsdale NY 10583,41.01677322,-73.78592682
A-360,20 Cohawney Rd Scarsdale NY 10583,41.0056839,-73.79000092
A-361,13 Cohawney Rd Scarsdale NY 10583,41.00603867,-73.79086304
A-362,25 Cohawney Rd Scarsdale NY 10583,41.00532913,-73.78914642
A-363,18 Cohawney Rd Scarsdale NY 10583,41.00584793,-73.79039764
A-364,23 Cohawney Rd Scarsdale NY 10583,41.00544357,-73.78942108
A-365,30 Cohawney Rd Scarsdale NY 10583,41.00492859,-73.78816986
A-366,31 Cohawney Rd Scarsdale NY 10583,41.00492477,-73.7881546
A-367,33 Cohawney Rd Scarsdale NY 10583,41.00482178,-73.78778076
A-368,3 Cohawney Rd Scarsdale NY 10583,41.00672531,-73.79254913
