Location Code,Address,LAT,LONG
H-170,156 Brite Ave Scarsdale NY 10583,41.01296616,-73.7858429
H-171,149 Brite Ave Scarsdale NY 10583,41.01237869,-73.7870636
H-172,143 Brite Ave Scarsdale NY 10583,41.01169586,-73.78733063
H-173,145 Brite Ave Scarsdale NY 10583,41.01201248,-73.78730011
H-174,157 Brite Ave Scarsdale NY 10583,41.01311874,-73.78659821
H-175,147 Brite Ave Scarsdale NY 10583,41.01219559,-73.78718567
H-176,139 Brite Ave Scarsdale NY 10583,41.01111221,-73.78782654
H-177,135 Brite Ave Scarsdale NY 10583,41.01074219,-73.78799438
H-178,153 Brite Ave Scarsdale NY 10583,41.01274872,-73.78683472
H-179,146 Brite Ave Scarsdale NY 10583,41.01192093,-73.78651428
H-180,141 Brite Ave Scarsdale NY 10583,41.01126862,-73.78766632
H-181,158 Brite Ave Scarsdale NY 10583,41.01317215,-73.78570557
H-182,155 Brite Ave Scarsdale NY 10583,41.01293564,-73.78671265
H-183,159 Brite Ave Scarsdale NY 10583,41.01330185,-73.78649139
H-184,151 Brite Ave Scarsdale NY 10583,41.01256561,-73.78694916
H-185,160 Brite Ave Scarsdale NY 10583,41.01338577,-73.78556824
H-186,161 Brite Ave Scarsdale NY 10583,41.01350403,-73.7864151
H-187,162 Brite Ave Scarsdale NY 10583,41.01358032,-73.78544617
H-188,138 Brite Ave Scarsdale NY 10583,41.011142,-73.787109
H-189,165 Brite Ave Scarsdale NY 10583,41.01388931,-73.78620148
H-190,164 Brite Ave Scarsdale NY 10583,41.01376343,-73.78533173
H-191,166 Brite Ave Scarsdale NY 10583,41.01411057,-73.78513336
H-192,163 Brite Ave Scarsdale NY 10583,41.01369858,-73.78631592
H-193,167 Brite Ave Scarsdale NY 10583,41.01407242,-73.78606415
H-194,171 Brite Ave Scarsdale NY 10583,41.01442337,-73.78546906
H-195,35 Brite Ave Scarsdale NY 10583,40.99882507,-73.79680634
H-196,25 Brite Ave Scarsdale NY 10583,40.99760818,-73.79824066
H-197,31 Brite Ave Scarsdale NY 10583,40.99824524,-73.79750061
H-198,22 Brite Ave Scarsdale NY 10583,40.99685287,-73.79789734
H-199,169 Brite Ave Scarsdale NY 10583,41.01425552,-73.78591156
H-200,29 Brite Ave Scarsdale NY 10583,40.99801636,-73.79774475
H-201,26 Brite Ave Scarsdale NY 10583,40.99715424,-73.79772186
H-202,28 Brite Ave Scarsdale NY 10583,40.99740982,-73.79738617
H-203,40 Brite Ave Scarsdale NY 10583,40.99863815,-73.79603577
H-204,42 Brite Ave Scarsdale NY 10583,40.99889374,-73.79576111
H-205,37 Brite Ave Scarsdale NY 10583,40.99904633,-73.79660797
H-206,38 Brite Ave Scarsdale NY 10583,40.99837494,-73.79631042
H-207,41 Brite Ave Scarsdale NY 10583,40.99926758,-73.79640198
H-208,21 Brite Ave Scarsdale NY 10583,40.99704361,-73.79850006
H-209,50 Brite Ave Scarsdale NY 10583,41.00034332,-73.794487
H-210,23 Brite Ave Scarsdale NY 10583,40.9973793,-73.79850006
H-211,44 Brite Ave Scarsdale NY 10583,40.99916077,-73.79548645
H-212,53 Brite Ave Scarsdale NY 10583,41.00073449,-73.79468791
H-213,49 Brite Ave Scarsdale NY 10583,41.00027084,-73.79521942
H-214,54 Brite Ave Scarsdale NY 10583,41.00072479,-73.79430389
H-215,56 Brite Ave Scarsdale NY 10583,41.00099564,-73.7942276
H-216,27 Brite Ave Scarsdale NY 10583,40.99790955,-73.79817963
H-217,59 Brite Ave Scarsdale NY 10583,41.00120544,-73.79489899
H-218,60 Brite Ave Scarsdale NY 10583,41.00156021,-73.79412842
H-219,65 Brite Ave Scarsdale NY 10583,41.00231552,-73.79493713
H-220,30 Brite Ave Scarsdale NY 10583,40.99807173,-73.79708849
H-221,66 Brite Ave Scarsdale NY 10583,41.00251389,-73.7939682
H-222,76 Brite Ave Scarsdale NY 10583,41.00373459,-73.79309845
H-223,79 Brite Ave Scarsdale NY 10583,41.003685,-73.79403687
H-224,62 Brite Ave Scarsdale NY 10583,41.002014,-73.794311
H-225,58 Brite Ave Scarsdale NY 10583,41.001289,-73.794189
H-226,83 Brite Ave Scarsdale NY 10583,41.00502014,-73.79310608
H-227,84 Brite Ave Scarsdale NY 10583,41.00477982,-73.79235077
H-228,85 Brite Ave Scarsdale NY 10583,41.00525665,-73.7929306
H-229,98 Brite Ave Scarsdale NY 10583,41.00675583,-73.79096222
H-230,92 Brite Ave Scarsdale NY 10583,41.00568008,-73.79169464
H-231,2 Brook Ln Scarsdale NY 10583,41.01215363,-73.79236603
H-232,87 Brite Ave Scarsdale NY 10583,41.00549316,-73.79275513
H-233,10 Brook Ln Scarsdale NY 10583,41.01304245,-73.79186249
H-234,12 Brook Ln Scarsdale NY 10583,41.01322937,-73.79174805
H-235,4 Brook Ln Scarsdale NY 10583,41.01241684,-73.79226685
H-236,6 Brook Ln Scarsdale NY 10583,41.01263046,-73.79212952
H-237,1 Butler Rd Scarsdale NY 10583,41.00409317,-73.79962158
H-238,12 Butler Rd Scarsdale NY 10583,41.00284576,-73.79807281
H-239,43 Brite Ave Scarsdale NY 10583,40.99940872,-73.79606628
H-240,14 Butler Rd Scarsdale NY 10583,41.00283432,-73.79769135
H-241,8 Brook Ln Scarsdale NY 10583,41.01285553,-73.79198456
H-242,11 Butler Rd Scarsdale NY 10583,41.00338364,-73.79746246
H-243,15 Butler Rd Scarsdale NY 10583,41.00369644,-73.79706573
H-244,14 Brook Ln Scarsdale NY 10583,41.01338196,-73.79152679
H-245,16 Butler Rd Scarsdale NY 10583,41.00282669,-73.7973175
H-246,15 Brook Ln Scarsdale NY 10583,41.0137291,-73.79149628
H-247,18 Butler Rd Scarsdale NY 10583,41.00282669,-73.79688263
H-248,20 Butler Rd Scarsdale NY 10583,41.00278091,-73.79641724
H-249,22 Butler Rd Scarsdale NY 10583,41.00268173,-73.79598236
H-250,23 Butler Rd Scarsdale NY 10583,41.0030899,-73.79498291
H-251,2 Butler Rd Scarsdale NY 10583,41.00349045,-73.79999542
H-252,24 Butler Rd Scarsdale NY 10583,41.00251389,-73.79547119
H-253,31 Butler Rd Scarsdale NY 10583,41.00231171,-73.79354858
H-254,27 Butler Rd Scarsdale NY 10583,41.00283432,-73.79450989
H-255,34 Butler Rd Scarsdale NY 10583,41.00175858,-73.79363251
H-256,36 Butler Rd Scarsdale NY 10583,41.00159836,-73.79329681
H-257,32 Butler Rd Scarsdale NY 10583,41.00187683,-73.79397583
H-258,41 Butler Rd Scarsdale NY 10583,41.00152206,-73.79192352
H-259,43 Butler Rd Scarsdale NY 10583,41.00154495,-73.79156494
H-260,38 Butler Rd Scarsdale NY 10583,41.00144577,-73.79296875
H-261,42 Butler Rd Scarsdale NY 10583,41.00091553,-73.79210663
H-262,4 Butler Rd Scarsdale NY 10583,41.00323868,-73.79968262
H-263,49 Butler Rd Scarsdale NY 10583,41.00143051,-73.79051208
H-264,50 Butler Rd Scarsdale NY 10583,41.0006752,-73.79018402
H-265,5 Butler Rd Scarsdale NY 10583,41.0037117,-73.79920197
H-266,51 Butler Rd Scarsdale NY 10583,41.00125885,-73.78999329
H-267,89 Butler Rd Scarsdale NY 10583,41.00019455,-73.78856659
H-268,54 Butler Rd Scarsdale NY 10583,41.0003624,-73.78961182
H-269,12 Cambridge Rd Scarsdale NY 10583,41.00567627,-73.7819519
H-270,1 Cambridge Rd Scarsdale NY 10583,41.0054245,-73.7829361
H-271,19 Cambridge Rd Scarsdale NY 10583,41.00642776,-73.78251648
H-272,21 Cambridge Rd Scarsdale NY 10583,41.00667191,-73.78232574
H-273,20 Cambridge Rd Scarsdale NY 10583,41.00616837,-73.78161621
H-274,16 Cambridge Rd Scarsdale NY 10583,41.00592422,-73.78178406
H-275,27 Cambridge Rd Scarsdale NY 10583,41.00705338,-73.78211212
H-276,40 Cambridge Rd Scarsdale NY 10583,41.007267,-73.78095245
H-277,30 Cambridge Rd Scarsdale NY 10583,41.0068779,-73.78114319
H-278,41 Cambridge Rd Scarsdale NY 10583,41.00772858,-73.78154755
H-279,45 Cambridge Rd Scarsdale NY 10583,41.00808334,-73.78118896
H-280,6 Cambridge Rd Scarsdale NY 10583,41.00535583,-73.78240967
H-281,14 Chesterfield Rd Scarsdale NY 10583,41.00451279,-73.79433441
H-282,43 Cambridge Rd Scarsdale NY 10583,41.00788879,-73.78131866
H-283,1 Chesterfield Rd Scarsdale NY 10583,41.00527954,-73.79640198
H-284,16 Chesterfield Rd Scarsdale NY 10583,41.0043602,-73.79397583
H-285,39 Cambridge Rd Scarsdale NY 10583,41.00756836,-73.78171539
H-286,19 Chesterfield Rd Scarsdale NY 10583,41.00475311,-73.79341125
H-287,15 Chesterfield Rd Scarsdale NY 10583,41.00499344,-73.79398346
H-288,22 Chesterfield Rd Scarsdale NY 10583,41.0039711,-73.7929306
H-289,2 Chesterfield Rd Scarsdale NY 10583,41.00483322,-73.79673004
H-290,17 Chesterfield Rd Scarsdale NY 10583,41.00487137,-73.79369354
H-291,24 Cambridge Rd Scarsdale NY 10583,41.00648117,-73.78141022
H-292,24 Chesterfield Rd Scarsdale NY 10583,41.00377274,-73.79252625
H-293,44 Butler Rd Scarsdale NY 10583,41.00089645,-73.79169464
H-294,27 Chesterfield Rd Scarsdale NY 10583,41.00395966,-73.79168701
H-295,23 Chesterfield Rd Scarsdale NY 10583,41.00434494,-73.79266357
H-296,25 Chesterfield Rd Scarsdale NY 10583,41.00418091,-73.79225922
H-297,29 Chesterfield Rd Scarsdale NY 10583,41.00379562,-73.79129028
H-298,31 Chesterfield Rd Scarsdale NY 10583,41.00355148,-73.79074097
H-299,35 Chesterfield Rd Scarsdale NY 10583,41.00312805,-73.78962708
H-300,38 Chesterfield Rd Scarsdale NY 10583,41.00259399,-73.78939819
H-301,44 Chesterfield Rd Scarsdale NY 10583,41.00232697,-73.78861237
H-302,4 Chesterfield Rd Scarsdale NY 10583,41.00424576,-73.79717255
H-303,48 Chesterfield Rd Scarsdale NY 10583,41.00200272,-73.7881012
H-304,33 Chesterfield Rd Scarsdale NY 10583,41.00324631,-73.78990173
H-305,43 Chesterfield Rd Scarsdale NY 10583,41.00272369,-73.78834534
H-306,6 Chesterfield Rd Scarsdale NY 10583,41.00451279,-73.79611206
H-307,7 Chesterfield Rd Scarsdale NY 10583,41.00537109,-73.79553223
H-308,39 Chesterfield Rd Scarsdale NY 10583,41.00296402,-73.78916168
H-309,47 Chesterfield Rd Scarsdale NY 10583,41.002548,-73.787712
H-310,1 Claremont Rd Scarsdale NY 10583,41.0165596,-73.78656006
H-311,11 Claremont Rd Scarsdale NY 10583,41.01723862,-73.78592682
H-312,13 Claremont Rd Scarsdale NY 10583,41.01741028,-73.7857666
H-313,14 Claremont Rd Scarsdale NY 10583,41.01725769,-73.7850647
H-314,15 Claremont Rd Scarsdale NY 10583,41.01757431,-73.78561401
H-315,19 Claremont Rd Scarsdale NY 10583,41.01798248,-73.78517914
H-316,10 Claremont Rd Scarsdale NY 10583,41.01703262,-73.78527832
H-317,17 Claremont Rd Scarsdale NY 10583,41.01777267,-73.78543091
H-318,16 Claremont Rd Scarsdale NY 10583,41.01755524,-73.7846756
H-319,2 Claremont Rd Scarsdale NY 10583,41.01613998,-73.78617096
H-320,20 Claremont Rd Scarsdale NY 10583,41.01794052,-73.78438568
H-321,21 Claremont Rd Scarsdale NY 10583,41.01822662,-73.78501129
H-322,22 Claremont Rd Scarsdale NY 10583,41.01821136,-73.78413391
H-323,23 Claremont Rd Scarsdale NY 10583,41.01842117,-73.78482819
H-324,90 Brite Ave Scarsdale NY 10583,41.00543976,-73.79187012
H-325,95 Brite Ave Scarsdale NY 10583,41.00676346,-73.79154205
H-326,89 Brite Ave Scarsdale NY 10583,41.00573349,-73.79258728
H-327,86 Brite Ave Scarsdale NY 10583,41.00499344,-73.79219055
H-328,93 Brite Ave Scarsdale NY 10583,41.00617599,-73.79196167
H-329,88 Brite Ave Scarsdale NY 10583,41.00521088,-73.79203796
H-330,91 Brite Ave Scarsdale NY 10583,41.00598526,-73.79242706
H-331,27 Claremont Rd Scarsdale NY 10583,41.01875687,-73.78451538
H-332,25 Claremont Rd Scarsdale NY 10583,41.01858902,-73.7846756
H-333,26 Claremont Rd Scarsdale NY 10583,41.01854324,-73.78381348
H-334,29 Claremont Rd Scarsdale NY 10583,41.0189209,-73.78436279
H-335,28 Claremont Rd Scarsdale NY 10583,41.0187149,-73.78366089
H-336,3 Claremont Rd Scarsdale NY 10583,41.01678085,-73.78635406
H-337,24 Claremont Rd Scarsdale NY 10583,41.0183754,-73.78397369
H-338,32 Claremont Rd Scarsdale NY 10583,41.01888657,-73.78350067
H-339,33 Claremont Rd Scarsdale NY 10583,41.01927567,-73.78403473
H-340,34 Claremont Rd Scarsdale NY 10583,41.01906967,-73.78330994
H-341,36 Claremont Rd Scarsdale NY 10583,41.01929092,-73.78310394
H-342,38 Claremont Rd Scarsdale NY 10583,41.01973724,-73.78327179
H-343,38 Claremont Rd Scarsdale NY 10583,41.01973724,-73.78327179
H-344,42 Claremont Rd Scarsdale NY 10583,41.02001572,-73.78367615
H-345,40 Claremont Rd Scarsdale NY 10583,41.01989365,-73.78347015
H-346,31 Claremont Rd Scarsdale NY 10583,41.01908875,-73.78420258
H-347,50 Claremont Rd Scarsdale NY 10583,41.02070618,-73.784729
H-348,4 Claremont Rd Scarsdale NY 10583,41.01637268,-73.78595734
H-349,53 Claremont Rd Scarsdale NY 10583,41.02037048,-73.78529358
H-350,54 Claremont Rd Scarsdale NY 10583,41.02061844,-73.78500366
H-351,12 Cohawney Rd Scarsdale NY 10583,41.00601196,-73.79155731
H-352,35 Claremont Rd Scarsdale NY 10583,41.019504,-73.783843
H-353,15 Cohawney Rd Scarsdale NY 10583,41.00616074,-73.7904129
H-354,9 Claremont Rd Scarsdale NY 10583,41.01703644,-73.78611755
H-355,17 Cohawney Rd Scarsdale NY 10583,41.0060463,-73.79013824
H-356,8 Claremont Rd Scarsdale NY 10583,41.01682663,-73.78553009
H-357,14 Cohawney Rd Scarsdale NY 10583,41.00590515,-73.79129028
